iter	RMSE
1417	0.1654851484
1418	0.1654748308
1419	0.1654634529
1420	0.1654505521
1421	0.1654322172
1422	0.1653972701
1423	0.1653698764
1424	0.1653522444
1425	0.1653432208
1426	0.1653397082
1427	0.1653201703
1428	0.1653064577
1429	0.1652917232
1430	0.1652807571
1431	0.1652649908
1432	0.1652569522
1433	0.165225963
1434	0.1652117584
1435	0.1652037741
1436	0.165184016
1437	0.1651683917
1438	0.1651595684
1439	0.1651491051
1440	0.165128688
1441	0.1651106821
1442	0.1650815481
1443	0.1650740153
1444	0.1650690545
1445	0.1650570115
1446	0.1650447387
1447	0.1650273623
1448	0.165015551
1449	0.1650120174
1450	0.1649998272
1451	0.1649789453
1452	0.1649665949
1453	0.1649545293
1454	0.1649415502
1455	0.1649216175
1456	0.1649056667
1457	0.1648783283
1458	0.1648610191
1459	0.164854484
1460	0.1648458678
1461	0.1648357395
1462	0.1648055283
1463	0.1648000585
1464	0.1647830115
1465	0.1647671087
1466	0.1647573892
1467	0.164739138
1468	0.1647286109
1469	0.1647171445
1470	0.1647044169
1471	0.1647014828
1472	0.1646966026
1473	0.1646825765
1474	0.1646718688
1475	0.1646582453
1476	0.1646455653
1477	0.1646331102
1478	0.16461616
1479	0.1646042217
1480	0.1645828324
1481	0.1645567122
1482	0.1645437027
1483	0.164535783
1484	0.1645184782
1485	0.1645054587
1486	0.1644853087
1487	0.1644749929
1488	0.1644695366
1489	0.1644657457
1490	0.1644546779
1491	0.1644155569
1492	0.1644029554
1493	0.1643855812
1494	0.1643780591
1495	0.1643686469
1496	0.1643611178
1497	0.1643514215
1498	0.1643454427
1499	0.1643175137
1500	0.1643034084
1501	0.1642928628
1502	0.1642814653
1503	0.1642651884
1504	0.1642547908
1505	0.1642387685
1506	0.1642189595
1507	0.1642056991
1508	0.1641963347
1509	0.1641825694
